,timeSineBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
432,4746.569,48.19,54.95,50.0,,45.35
433,4746.719,47.44,54.42,50.0,,45.53
434,4746.869,46.46,53.87,50.0,51.55,45.78
435,4747.029,45.72,53.32,50.0,,45.96
436,4747.179,45.02,52.77,50.0,,46.13
437,4747.33,44.17,52.23,50.0,,46.35
438,4747.48,43.78,51.71,50.0,51.85,46.46
439,4747.629,43.61,51.25,50.0,,46.52
440,4747.781,43.7,50.87,50.0,,46.55
441,4952.888,,,,52.06,
442,4747.932,43.92,50.57,50.0,,46.52
443,4748.08,44.24,50.34,50.0,52.38,46.47
444,4748.224,44.78,50.19,50.0,,46.38
445,4748.374,45.24,50.11,50.0,,46.32
446,4748.523,45.71,50.09,50.0,,46.24
447,4748.673,46.27,50.11,50.0,52.53,46.13
448,4748.823,46.59,50.16,50.0,,46.06
449,4748.973,46.85,50.21,50.0,,46.0
450,4958.413,,,,52.83,
451,4749.124,47.11,50.27,50.0,,45.9
452,4749.273,47.24,50.33,50.0,53.03,45.84
453,4749.423,47.34,50.37,50.0,,45.79
454,4749.573,47.43,50.4,50.0,,45.72
455,4749.723,47.47,50.42,50.0,,45.67
456,4749.873,47.51,50.44,50.0,53.33,45.62
457,4750.023,47.56,50.44,50.0,,45.55
458,4750.174,47.59,50.43,50.0,,45.52
459,4750.323,47.62,50.42,50.0,,45.48
460,4750.473,47.64,50.41,50.0,,45.4
461,4964.973,,,,53.63,
462,4750.623,47.65,50.38,50.0,,45.36
463,4750.773,47.67,50.36,50.0,,45.32
464,4750.923,47.68,50.33,50.0,,45.27
465,4751.073,47.69,50.3,50.0,53.86,45.23
466,4751.223,47.69,50.26,50.0,,45.19
467,4751.373,47.7,50.23,50.0,,45.15
468,4751.523,47.71,50.19,50.0,,45.11
469,4751.673,47.71,50.15,50.0,54.15,45.07
470,4970.553,,,,54.32,
471,4751.823,47.72,50.11,50.0,,45.04
472,4751.973,47.73,50.07,50.0,,45.0
473,4752.123,47.74,50.04,50.0,,44.97
474,4752.273,47.75,50.0,50.0,54.53,44.95
475,4752.423,47.79,49.96,50.0,,44.88
476,4752.573,47.83,49.93,50.0,,44.84
477,4752.723,47.87,49.9,50.0,,44.81
478,4752.873,47.94,49.88,50.0,54.72,44.76
479,4976.022,,,,55.03,
480,4753.023,48.0,49.86,50.0,,44.73
481,4977.135,,,,55.2,
482,4753.173,48.06,49.85,50.0,,44.69
483,4753.323,48.15,49.84,50.0,,44.65
484,4753.473,48.21,49.83,50.0,55.43,44.61
485,4753.623,48.26,49.82,50.0,,44.58
486,4753.773,48.35,49.82,50.0,,44.53
487,4753.923,48.41,49.82,50.0,,44.5
488,4754.073,48.48,49.82,50.0,55.7,44.48
489,4754.223,48.55,49.83,50.0,,44.44
490,4754.373,48.6,49.83,50.0,,44.4
491,4754.523,48.65,49.83,50.0,,44.37
492,4754.673,48.73,49.84,50.0,55.88,44.33
493,4754.823,48.78,49.84,50.0,,44.3
494,4754.973,48.83,49.85,50.0,,44.28
495,4985.718,,,,56.26,
496,4755.123,48.89,49.85,50.0,,44.25
497,4755.273,48.94,49.86,50.0,56.35,44.23
498,4755.423,48.99,49.86,50.0,,44.2
499,4755.573,49.03,49.87,50.0,,44.17
500,4755.723,49.07,49.87,50.0,,44.14
501,4755.873,49.1,49.88,50.0,56.69,44.12
502,4756.023,49.15,49.88,50.0,,44.09
503,4756.173,49.2,49.89,50.0,,44.06
504,4756.323,49.24,49.89,50.0,,44.04
505,4756.473,49.28,49.89,50.0,,44.01
506,4756.623,49.31,49.9,90.0,,43.99
507,4756.773,49.33,49.9,90.0,,43.97
508,4756.923,49.36,49.9,90.0,,43.95
509,4757.073,49.38,49.9,90.0,,43.93
510,4757.223,49.39,49.9,90.0,,43.91
511,4757.373,49.43,49.9,90.0,,43.87
