timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Alternate1 Thermocouple TempC
541.495,106.02,43.83,62,,18.53,
541.645,106.29,44.11,62,34.12,18.55,25.11
541.645,106.29,44.11,62,34.12,18.55,25.11
541.645,106.29,44.11,62,34.12,18.55,25.11
541.645,106.29,44.11,62,34.12,18.55,25.11
541.645,106.29,44.11,62,34.12,18.55,25.11
541.645,106.29,44.11,62,34.12,18.55,25.11
541.795,106.55,44.39,62,,18.56,
541.795,106.55,44.39,62,,18.56,
541.795,106.55,44.39,62,,18.56,
541.795,106.55,44.39,62,,18.56,
541.945,106.91,44.7,62,,18.59,
541.945,106.91,44.7,62,,18.59,
541.945,106.91,44.7,62,,18.59,
541.945,106.91,44.7,62,,18.59,
542.096,107.16,44.98,62,,18.6,
542.096,107.16,44.98,62,,18.6,
542.096,107.16,44.98,62,,18.6,
542.096,107.16,44.98,62,,18.6,
542.245,107.41,45.26,62,36.35,18.62,25.77
542.245,107.41,45.26,62,36.35,18.62,25.77
542.245,107.41,45.26,62,36.35,18.62,25.77
542.245,107.41,45.26,62,36.35,18.62,25.77
542.245,107.41,45.26,62,36.35,18.62,25.77
542.245,107.41,45.26,62,36.35,18.62,25.77
542.395,107.75,45.57,62,,18.66,
542.395,107.75,45.57,62,,18.66,
542.395,107.75,45.57,62,,18.66,
542.395,107.75,45.57,62,,18.66,
542.545,108.02,45.85,62,,18.67,
542.545,108.02,45.85,62,,18.67,
542.545,108.02,45.85,62,,18.67,
542.545,108.02,45.85,62,,18.67,
542.695,108.29,46.14,62,,18.69,
542.695,108.29,46.14,62,,18.69,
542.695,108.29,46.14,62,,18.69,
542.695,108.29,46.14,62,,18.69,
542.845,108.61,46.45,62,38.44,18.72,26.57
542.845,108.61,46.45,62,38.44,18.72,26.57
542.845,108.61,46.45,62,38.44,18.72,26.57
542.845,108.61,46.45,62,38.44,18.72,26.57
542.845,108.61,46.45,62,38.44,18.72,26.57
542.845,108.61,46.45,62,38.44,18.72,26.57
542.995,108.83,46.72,62,,18.73,
542.995,108.83,46.72,62,,18.73,
542.995,108.83,46.72,62,,18.73,
542.995,108.83,46.72,62,,18.73,
543.205,109.07,47.01,62,,18.76,
543.205,109.07,47.01,62,,18.76,
543.205,109.07,47.01,62,,18.76,
543.205,109.07,47.01,62,,18.76,
543.333,109.38,47.36,62,,18.79,
543.333,109.38,47.36,62,,18.79,
543.333,109.38,47.36,62,,18.79,
543.333,109.38,47.36,62,,18.79,
543.483,109.65,47.65,62,39.23,18.81,26.86
543.483,109.65,47.65,62,39.23,18.81,26.86
543.483,109.65,47.65,62,39.23,18.81,26.86
543.483,109.65,47.65,62,39.23,18.81,26.86
543.483,109.65,47.65,62,39.23,18.81,26.86
543.483,109.65,47.65,62,39.23,18.81,26.86
543.633,109.97,47.96,62,,18.83,
543.633,109.97,47.96,62,,18.83,
543.633,109.97,47.96,62,,18.83,
543.633,109.97,47.96,62,,18.83,
543.781,110.19,48.24,62,,18.85,
543.781,110.19,48.24,62,,18.85,
543.781,110.19,48.24,62,,18.85,
543.781,110.19,48.24,62,,18.85,
543.932,110.39,48.51,62,,18.88,
543.932,110.39,48.51,62,,18.88,
543.932,110.39,48.51,62,,18.88,
543.932,110.39,48.51,62,,18.88,
544.081,110.71,48.82,62,40.83,18.9,27.56
544.081,110.71,48.82,62,40.83,18.9,27.56
544.081,110.71,48.82,62,40.83,18.9,27.56
544.081,110.71,48.82,62,40.83,18.9,27.56
544.081,110.71,48.82,62,40.83,18.9,27.56
544.081,110.71,48.82,62,40.83,18.9,27.56
544.231,110.95,49.11,62,,18.93,
544.231,110.95,49.11,62,,18.93,
544.231,110.95,49.11,62,,18.93,
544.231,110.95,49.11,62,,18.93,
544.382,111.15,49.38,62,,18.95,
544.382,111.15,49.38,62,,18.95,
544.382,111.15,49.38,62,,18.95,
544.382,111.15,49.38,62,,18.95,
544.531,111.41,49.67,62,,18.98,
544.531,111.41,49.67,62,,18.98,
544.531,111.41,49.67,62,,18.98,
544.531,111.41,49.67,62,,18.98,
544.681,111.58,49.94,62,41.59,19,27.97
544.681,111.58,49.94,62,41.59,19,27.97
544.681,111.58,49.94,62,41.59,19,27.97
544.681,111.58,49.94,62,41.59,19,27.97
544.681,111.58,49.94,62,41.59,19,27.97
544.681,111.58,49.94,62,41.59,19,27.97
