consumableId,consumable/lot,numericValue,instrument
548a8a38-d012-402d-b4b1-f88cdbee3858,TKM-1613,1.13,AdvBuild06
09790b13-3a6f-4eed-a7f8-6277a8fdf482,TKM-1613,1.131,AdvBuild03
9fc83904-0ce7-4b12-bdd8-fb91b94981d6,TKM-1613,1.137,203
0eac1cfb-6edc-446e-8664-4ca82bfc633e,TKM-1613,1.138,AdvBuild06
c589069a-c9c5-4cd5-94fa-1fe3607ebcc3,TKM-1613,1.166,AdvBuild06
d7e89b1c-3d27-4cf2-b2aa-058766155751,TKM-1613,1.167,103
513538b1-570b-4df4-b44b-5bfc5edd926c,TKM-1636,0.937,AdvBuild28
753c7f1f-f603-453e-a736-db4bc4a65f7b,TKM-1636,0.974,AdvBuild09 (New)
b96d030d-dcb1-4ede-9844-788699ed6ba7,TKM-1636,0.992,AdvBuild20
cb275ed9-399b-448b-a500-7af03a5f96ca,TKM-1636,0.994,AdvBuild20
35659cf4-f5b0-41e4-bfbc-4652ba3500a4,TKM-1636,1.005,AdvBuild23
bd24cbbc-c7af-41b7-b9f3-1f457e5bc024,TKM-1636,1.007,AdvBuild13
f8b847cb-fe88-4da6-9d5d-2402b0564fc1,TKM-1636,1.016,AdvBuild25
eaadfb44-032c-4ef6-9772-daccd8430c05,TKM-1636,1.018,AdvBuild09 (New)
3d5a78aa-25c3-4279-8b7f-bd62bd92a4b4,TKM-1636,1.025,AdvBuild25
8f49dafb-3746-4c61-8b96-ac207096c079,TKM-1636,1.031,AdvBuild13
fb6533b3-0475-464b-97c8-06d73a91f59a,TKM-1636,1.035,AdvBuild09 (New)
9f2556ff-bc40-446e-a6e2-df9fde8c4dbb,TKM-1636,1.038,AdvBuild08
196b32ee-7901-4350-bd55-791460aeaff2,TKM-1636,1.04,AdvBuild20
87169797-b5bf-462d-9497-169165adc59d,TKM-1636,1.057,AdvBuild28
96ed3d82-5bd4-4617-b66e-713fc0e5e5d7,TKM-1636,1.06,AdvBuild28
db290c62-a6fe-4ef8-80c8-e4b4b90cb8a0,TKM-1636,1.072,AdvBuild09 (New)
41562909-e0e1-4409-99d0-480151ab9ace,TKM-1636,1.077,AdvBuild09 (New)
3e477ca0-e20f-485b-9cc8-dc08ac626dc9,TKM-1636,1.081,AdvBuild20
06929266-7f83-4b71-9be0-8bb21dd4ce56,TKM-1636,1.085,AdvBuild09 (New)
6352fee3-ed51-4374-9fa7-573bf1d7f8be,TKM-1636,1.087,AdvBuild25
71fda9a9-ef29-4bef-a247-e46cd48e9c96,TKM-1636,1.089,AdvBuild09 (New)
bcd9b173-17d7-428f-b114-be7dadb9795b,TKM-1636,1.099,AdvBuild23
4a756e39-cf2c-4179-8b81-d65f6c96f3dc,TKM-1636,1.102,AdvBuild28
949ba815-c182-4e4b-aff4-5737b3439d76,TKM-1636,1.104,AdvBuild28
29e54b88-2401-409e-94b4-7419986c845d,TKM-1636,1.105,AdvBuild09 (New)
a2a35cfc-9e78-4c8b-ae28-0863c3204c83,TKM-1636,1.107,AdvBuild09 (New)
a396162d-3c59-498a-b36a-bd399dc781f3,TKM-1636,1.109,AdvBuild23
1c9d01c3-4c25-4f32-bcd5-7d6cd4a476b8,TKM-1636,1.11,AdvBuild13
11e1f891-3c30-41e1-9c47-d777555ee326,TKM-1636,1.115,AdvBuild09 (New)
8b8af6be-abff-43a6-a1f8-b8d86f117ac7,TKM-1636,1.123,AdvBuild09 (New)
e4040c5b-79f3-4f4b-87b3-26dcf31ebfbb,TKM-1636,1.126,AdvBuild28
73a1fa05-3d99-44c9-8769-a4af7b4a5268,TKM-1636,1.128,AdvBuild09 (New)
b6ea53a7-a74b-49d5-aa2a-1d03b043a81f,TKM-1636,1.129,AdvBuild09 (New)
04bd0e5b-48e2-4ed9-b366-b98db7a3e802,TKM-1636,1.131,AdvBuild28
eb63ffc5-382f-4481-a41f-d18de504b7fa,TKM-1636,1.133,AdvBuild28
3ffaa05b-eaed-49fb-b476-69b210a860b9,TKM-1636,1.135,AdvBuild09 (New)
67ab3eca-d88c-4010-a092-52c63fecc8ee,TKM-1636,1.144,AdvBuild08
47dd29d2-15e3-4e38-9f57-2839ce7ed8f3,TKM-1636,1.145,AdvBuild09 (New)
89636d63-598c-4cbb-a1a3-3f9a9f8c4c7f,TKM-1636,1.147,AdvBuild08
455292b1-0f21-49fc-a530-930c5ddbfae4,TKM-1636,1.156,AdvBuild09 (New)
49f2b2a0-9b22-4f21-aef5-8fdc0847be1c,TKM-1636,1.156,AdvBuild08
55b18704-bc56-45c2-b640-3e466841c7c3,TKM-1636,1.156,AdvBuild08
7ce1d448-e509-490a-8d8d-b19f3a1b437f,TKM-1636,1.156,AdvBuild20
d4010a3f-f8d7-4761-9998-bc824fddefa7,TKM-1636,1.156,AdvBuild09 (New)
ae5b9b08-c2f6-42b7-9099-71ad5a6111ac,TKM-1636,1.158,AdvBuild28
c3e61d8a-7679-4912-9f1b-e40fb4861765,TKM-1636,1.159,AdvBuild28
9f8083bf-d464-407c-87f0-6c4bf6f0a13a,TKM-1636,1.16,AdvBuild20
d391a76a-8773-466d-b823-046f73f1d516,TKM-1636,1.16,AdvBuild13
fd5a0ea3-f820-4d9a-a194-540b54f0f457,TKM-1636,1.162,AdvBuild08
4c0e372f-19da-4f95-98e5-197f9c695c2d,TKM-1636,1.163,AdvBuild08
3e86ba04-f8e7-4bec-bbb9-008fe5feb2d4,TKM-1636,1.165,AdvBuild08
1fe39b8c-e6ef-4424-a65f-6a534c6bc3ef,TKM-1636,1.167,AdvBuild09 (New)
92cbd048-2ee1-472e-b426-2289a40e99d1,TKM-1636,1.168,AdvBuild25
c1393e64-a97c-47c3-b549-796a3eec817b,TKM-1636,1.168,AdvBuild28
76d4c6a6-de8b-4918-bebf-160ab626e5f4,TKM-1636,1.17,AdvBuild13
3e5a8164-d5c1-4c67-8d26-aa7235cd8671,TKM-1636,1.174,AdvBuild13
aec72bc7-27e9-4b56-87f2-de24f7853752,TKM-1636,1.174,AdvBuild09 (New)
3f414a1e-0f5f-4ec8-859b-3518d1436781,TKM-1636,1.176,AdvBuild09 (New)
208df869-dd6c-4e1f-b9bd-57c036fa56a6,TKM-1636,1.177,AdvBuild28
d4cf8b5e-d02d-462e-8684-8d3bce3fed6c,TKM-1636,1.177,AdvBuild08
52ddfdac-e792-4ad1-a2e0-a8013475a499,TKM-1636,1.178,AdvBuild13
84bd5a5a-db4d-4c3a-a7fd-f674f06b4251,TKM-1636,1.181,AdvBuild25
cd52fe9d-7a2d-4e83-8cb4-4be11566ec70,TKM-1636,1.186,AdvBuild08
4eed67f6-230d-4aff-be48-1ee8201862c3,TKM-1636,1.188,AdvBuild13
885aed28-9e5f-4732-bab9-0f7fc889188d,TKM-1636,1.19,AdvBuild20
66c718de-c1c1-4a5c-90ed-64d5d739f315,TKM-1636,1.192,AdvBuild28
f4ea1537-4eda-4be4-a0ea-a8de08982951,TKM-1636,1.193,AdvBuild28
8f1eb339-57b5-493e-a630-b598609206d2,TKM-1636,1.195,AdvBuild28
f2f91a58-f582-417d-a5ab-cbcf8ea70204,TKM-1636,1.198,AdvBuild20
121e3cbf-0059-47e0-847c-0c8900300634,TKM-1636,1.2,AdvBuild25
2b4e4aee-4b74-4e2a-944b-ec2b18b9ea58,TKM-1636,1.201,AdvBuild28
d6eedd93-ce73-4c63-8b7b-f87699ad9889,TKM-1636,1.203,AdvBuild13
ef5801e9-5cd3-4996-a1cc-426d157646ef,TKM-1636,1.204,AdvBuild08
f3024f57-6743-46bb-926c-e8dc3c630fd6,TKM-1636,1.204,AdvBuild25
b8901563-457a-4e3c-a113-6a937bd425cc,TKM-1636,1.205,AdvBuild13
08173697-d0c0-4eff-9a68-8eef8a48a769,TKM-1636,1.206,AdvBuild25
3f72de2b-68ee-475c-82bd-bb77d1d241eb,TKM-1636,1.206,AdvBuild28
a0349917-c85c-47e4-ba07-513dfa25cbc9,TKM-1636,1.207,AdvBuild23
0babff3a-07fb-4ae6-a6d4-b8a8351ed3b8,TKM-1636,1.209,AdvBuild08
0c5cae59-7f96-4404-9dfe-ccf53f363a0b,TKM-1636,1.209,AdvBuild08
8f0c9b09-3031-496a-bd48-d72ae8719b5e,TKM-1636,1.209,AdvBuild13
6168ae17-5754-4773-964a-4537eb701c99,TKM-1636,1.21,AdvBuild09 (New)
cfcf0736-4e64-42e7-9068-9f9979a900c7,TKM-1636,1.21,AdvBuild13
2dcf833b-cd32-48be-9fbf-6b8e82f2723d,TKM-1636,1.211,AdvBuild20
7a375fd9-f387-49b7-9154-f30e5c6b73e3,TKM-1636,1.211,AdvBuild28
bdb2e7f4-e12a-44c1-9eb1-0ac22d66add8,TKM-1636,1.211,AdvBuild08
