timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Output
11192.641,100.59,31.67,40,65,,27.93,100
11192.641,100.59,31.67,40,65,,27.93,100
11192.648,,,,,32.93,,
11192.79,101.08,31.91,40,65,,27.93,100
11192.79,101.08,31.91,40,65,,27.93,100
11192.79,101.08,31.91,40,65,,27.93,100
11192.79,101.08,31.91,40,65,,27.93,100
11192.79,101.08,31.91,40,65,,27.93,100
11192.79,101.08,31.91,40,65,,27.93,100
11192.94,101.54,32.14,40,65,,27.92,100
11192.94,101.54,32.14,40,65,,27.92,100
11192.94,101.54,32.14,40,65,,27.92,100
11192.94,101.54,32.14,40,65,,27.92,100
11192.94,101.54,32.14,40,65,,27.92,100
11192.94,101.54,32.14,40,65,,27.92,100
11193.092,102.13,32.4,40,65,,27.91,100
11193.092,102.13,32.4,40,65,,27.91,100
11193.092,102.13,32.4,40,65,,27.91,100
11193.092,102.13,32.4,40,65,,27.91,100
11193.092,102.13,32.4,40,65,,27.91,100
11193.092,102.13,32.4,40,65,,27.91,100
11193.242,102.56,32.63,40,65,34.48,27.91,100
11193.242,102.56,32.63,40,65,34.48,27.91,100
11193.242,102.56,32.63,40,65,34.48,27.91,100
11193.242,102.56,32.63,40,65,34.48,27.91,100
11193.242,102.56,32.63,40,65,34.48,27.91,100
11193.242,102.56,32.63,40,65,34.48,27.91,100
11193.242,102.56,32.63,40,65,34.48,27.91,100
11193.392,102.99,32.87,40,65,,27.89,100
11193.392,102.99,32.87,40,65,,27.89,100
11193.392,102.99,32.87,40,65,,27.89,100
11193.392,102.99,32.87,40,65,,27.89,100
11193.392,102.99,32.87,40,65,,27.89,100
11193.392,102.99,32.87,40,65,,27.89,100
11193.542,103.57,33.13,40,65,,27.89,100
11193.542,103.57,33.13,40,65,,27.89,100
11193.542,103.57,33.13,40,65,,27.89,100
11193.542,103.57,33.13,40,65,,27.89,100
11193.542,103.57,33.13,40,65,,27.89,100
11193.542,103.57,33.13,40,65,,27.89,100
11193.692,103.99,33.37,40,65,,27.88,100
11193.692,103.99,33.37,40,65,,27.88,100
11193.692,103.99,33.37,40,65,,27.88,100
11193.692,103.99,33.37,40,65,,27.88,100
11193.692,103.99,33.37,40,65,,27.88,100
11193.692,103.99,33.37,40,65,,27.88,100
11193.842,104.38,33.61,40,65,35.84,27.88,100
11193.842,104.38,33.61,40,65,35.84,27.88,100
11193.842,104.38,33.61,40,65,35.84,27.88,100
11193.842,104.38,33.61,40,65,35.84,27.88,100
11193.842,104.38,33.61,40,65,35.84,27.88,100
11193.842,104.38,33.61,40,65,35.84,27.88,100
11193.842,104.38,33.61,40,65,35.84,27.88,100
11193.992,104.79,33.85,40,65,,27.88,100
11193.992,104.79,33.85,40,65,,27.88,100
11193.992,104.79,33.85,40,65,,27.88,100
11193.992,104.79,33.85,40,65,,27.88,100
11193.992,104.79,33.85,40,65,,27.88,100
11193.992,104.79,33.85,40,65,,27.88,100
11194.142,105.34,34.11,40,65,,27.87,100
11194.142,105.34,34.11,40,65,,27.87,100
11194.142,105.34,34.11,40,65,,27.87,100
11194.142,105.34,34.11,40,65,,27.87,100
11194.142,105.34,34.11,40,65,,27.87,100
11194.142,105.34,34.11,40,65,,27.87,100
11194.292,105.76,34.36,40,65,,27.87,100
11194.292,105.76,34.36,40,65,,27.87,100
11194.292,105.76,34.36,40,65,,27.87,100
11194.292,105.76,34.36,40,65,,27.87,100
11194.292,105.76,34.36,40,65,,27.87,100
11194.292,105.76,34.36,40,65,,27.87,100
11194.442,106.18,34.61,40,65,37.32,27.87,100
11194.442,106.18,34.61,40,65,37.32,27.87,100
11194.442,106.18,34.61,40,65,37.32,27.87,100
11194.442,106.18,34.61,40,65,37.32,27.87,100
11194.442,106.18,34.61,40,65,37.32,27.87,100
11194.442,106.18,34.61,40,65,37.32,27.87,100
11194.442,106.18,34.61,40,65,37.32,27.87,100
11194.592,106.69,34.87,40,65,,27.86,100
11194.592,106.69,34.87,40,65,,27.86,100
11194.592,106.69,34.87,40,65,,27.86,100
11194.592,106.69,34.87,40,65,,27.86,100
11194.592,106.69,34.87,40,65,,27.86,100
11194.592,106.69,34.87,40,65,,27.86,100
11194.742,107.07,35.12,40,65,,27.86,100
11194.742,107.07,35.12,40,65,,27.86,100
11194.742,107.07,35.12,40,65,,27.86,100
11194.742,107.07,35.12,40,65,,27.86,100
11194.742,107.07,35.12,40,65,,27.86,100
11194.742,107.07,35.12,40,65,,27.86,100
11194.893,107.43,35.37,40,65,,27.86,100
11194.893,107.43,35.37,40,65,,27.86,100
11194.893,107.43,35.37,40,65,,27.86,100
11194.893,107.43,35.37,40,65,,27.86,100
11194.893,107.43,35.37,40,65,,27.86,100
11194.893,107.43,35.37,40,65,,27.86,100
11195.042,107.9,35.63,40,65,38.57,27.86,100
11195.042,107.9,35.63,40,65,38.57,27.86,100
11195.042,107.9,35.63,40,65,38.57,27.86,100
11195.042,107.9,35.63,40,65,38.57,27.86,100
