(9192059) systemRequestStateChange: System State Transition WARNING -> ERROR
(9192059) blePeriphNotifySubscription: ENTER NOTIFY
(9192062) systemRequestStateChange: Notify exit state change
***PCR ON***
[99]PCR TEC set to 50°C
(9203218) _setPcrTecTempC: TEC Set Temp 50.000000
(9203219) _resetThermalControlState: RESET Peltier 1 control state
(9203223) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(9203230) _setThermalControlState: thermalControl-1: changing state 3->1
(9203237) tecCurvePredictorSetHoldPower: holdPower is NaN
(9203243) thermalControlSetEnable: Enabling Peltier 1
(9223794) TC: TC-1 = 98.59, modeled = 89.57, target = 50.00, heatSink = -85.97, output = -100.0, timeout = 20450, exptTempC = 50.00, TecRate = 1.015
(9223945) TC: TC-1 = 98.65, modeled = 89.72, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 20600, exptTempC = 50.00, TecRate = 1.009
(9224099) TC: TC-1 = 98.72, modeled = 89.87, target = 50.00, heatSink = -85.94, output = -100.0, timeout = 20750, exptTempC = 50.00, TecRate = 1.010
(9224251) TC: TC-1 = 98.75, modeled = 90.02, target = 50.00, heatSink = -85.98, output = -100.0, timeout = 20900, exptTempC = 50.00, TecRate = 0.976
(9224396) TC: TC-1 = 98.78, modeled = 90.16, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 21050, exptTempC = 50.00, TecRate = 0.948
(9224546) TC: TC-1 = 98.83, modeled = 90.30, target = 50.00, heatSink = -86.09, output = -100.0, timeout = 21200, exptTempC = 50.00, TecRate = 0.942
(9224695) TC: TC-1 = 98.89, modeled = 90.44, target = 50.00, heatSink = -85.91, output = -100.0, timeout = 21350, exptTempC = 50.00, TecRate = 0.938
(9224846) TC: TC-1 = 98.93, modeled = 90.58, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 21500, exptTempC = 50.00, TecRate = 0.910
(9225001) TC: TC-1 = 98.97, modeled = 90.72, target = 50.00, heatSink = -86.12, output = -100.0, timeout = 21650, exptTempC = 50.00, TecRate = 0.902
(9225147) TC: TC-1 = 99.01, modeled = 90.85, target = 50.00, heatSink = -86.12, output = -100.0, timeout = 21800, exptTempC = 50.00, TecRate = 0.883
