time,xx,T,415,445,480,515,555,590,630,680,NIR,CLR,Dark
[81245,0,54.89,332,5484,2849,1865,837,416,331,234,111,4791,1]
[81495,0,54.88,331,5481,2849,1865,837,416,331,234,111,4791,1]
[81745,0,54.88,331,5479,2848,1864,837,415,331,234,111,4793,1]
[81995,0,54.92,332,5481,2848,1864,837,415,331,234,111,4790,1]
[82245,0,54.97,332,5479,2847,1864,837,415,330,234,111,4789,1]
[82495,0,55.02,331,5477,2846,1863,836,415,330,234,111,4788,1]
[82745,0,55.07,332,5477,2845,1862,836,415,330,234,111,4791,1]
[82995,0,55.09,332,5482,2843,1862,836,415,331,234,110,4787,1]
[83247,0,55.09,332,5482,2842,1861,835,415,330,234,111,4789,1]
[83495,0,55.09,332,5474,2840,1859,835,415,330,234,111,4787,1]
[83745,0,55.08,332,5476,2839,1859,835,415,330,234,111,4784,1]
[83999,0,55.07,332,5479,2838,1858,834,414,330,233,111,4779,1]
[84247,0,55.06,332,5471,2837,1857,834,414,330,233,111,4775,1]
[84495,0,55.03,332,5481,2836,1857,834,414,330,233,111,4775,1]
[84744,0,55,332,5479,2835,1857,834,414,330,233,111,4778,1]
[84994,0,54.98,332,5478,2835,1857,834,414,330,233,111,4776,1]
[85245,0,54.97,331,5479,2836,1856,834,415,330,233,111,4775,1]
[85494,0,54.97,331,5476,2835,1856,834,414,330,233,111,4778,1]
[85745,0,54.97,331,5482,2835,1856,834,415,330,233,111,4776,1]
[85994,0,54.96,331,5482,2834,1856,834,414,330,233,111,4775,1]
[86245,0,54.94,331,5485,2834,1856,834,414,330,233,111,4778,1]
[86495,0,54.91,331,5487,2834,1856,834,414,330,233,111,4775,1]
[86745,0,54.89,331,5485,2833,1855,834,414,330,233,111,4773,1]
[86995,0,54.88,331,5487,2834,1855,834,414,330,233,111,4774,1]
[87256,0,54.88,331,5491,2834,1855,833,414,330,233,111,4773,1]
[87506,0,54.92,331,5494,2829,1853,832,414,329,233,111,4772,1]
[87749,0,54.98,331,5487,2826,1850,831,413,329,233,111,4769,1]
[87995,0,55.04,330,5489,2824,1850,831,413,329,233,111,4765,1]
[88245,0,55.09,331,5482,2824,1849,831,413,329,233,111,4765,1]
[88517,0,55.11,331,5480,2822,1849,830,413,328,232,110,4764,1]
[88745,0,55.11,331,5477,2816,1844,829,412,328,232,110,4758,1]
[88995,0,55.09,331,5477,2816,1845,829,412,328,232,110,4759,1]
[89245,0,55.08,330,5476,2816,1845,829,412,328,232,110,4758,1]
[89497,0,55.07,330,5480,2816,1845,829,412,328,232,110,4759,1]
[89747,0,55.07,330,5484,2816,1844,829,412,328,232,110,4758,1]
[89995,0,55.06,330,5486,2816,1844,829,412,328,232,110,4757,1]
[90245,0,55.03,331,5482,2815,1844,829,412,328,232,110,4756,1]
[90497,0,54.99,330,5486,2816,1844,829,412,328,232,110,4758,1]
[90745,0,54.98,330,5483,2815,1844,829,412,328,232,110,4754,1]
[90994,0,54.97,330,5484,2815,1844,829,413,328,232,110,4753,1]
[91245,0,54.95,331,5495,2816,1844,829,412,328,232,110,4755,1]
[91494,0,54.92,331,5490,2816,1845,829,413,329,232,110,4753,1]
[91745,0,54.9,331,5492,2817,1845,829,413,329,232,110,4754,1]
[91995,0,54.88,331,5490,2817,1845,829,412,329,232,110,4753,1]
[92247,0,54.87,331,5495,2816,1845,829,412,329,232,110,4752,1]
[92495,0,54.88,331,5494,2816,1845,829,413,329,232,110,4751,1]
[92747,0,54.92,331,5488,2816,1845,829,412,328,232,110,4755,1]
[92997,0,54.97,331,5488,2814,1844,829,412,328,232,110,4755,1]
[93245,0,55.03,330,5495,2813,1843,828,412,328,232,110,4753,1]
