timeSinceBoot,,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Controlled Ramp Target,dataQStg1Heatsink,dataQStg1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,liquid2,dataQStg1Slug,Stage1 P Term,Stage1 I Term,Stage1 D Term,Stage1 FF Term,,Stage1 Actual TEC Temp Rate,Stage1 Prior Target TEC Ramp Rate
8590.188,8.856,88.98,88.98,90,90,,,,,,,,,,,,,,
8590.188,8.856,88.98,88.98,90,90,,,,,,,,,,,,,,
8590.188,8.856,88.98,88.98,90,90,,,,,,,,,,,,,,
8590.337,9.005,88.84,88.84,90,90,,,,,,,,,,,,,,
8590.337,9.005,88.84,88.84,90,90,,,,,,,,,,,,,,
8590.337,9.005,88.84,88.84,90,90,,,,,,,,,,,,,,
8590.337,9.005,88.84,88.84,90,90,,,,,,,,,,,,,,
8590.337,9.005,88.84,88.84,90,90,,,,,,,,,,,,,,
8590.487,9.155,88.7,88.7,90,90,,,,,,,,,,,,,,
8590.487,9.155,88.7,88.7,90,90,,,,,,,,,,,,,,
8590.487,9.155,88.7,88.7,90,90,,,,,,,,,,,,,,
8590.487,9.155,88.7,88.7,90,90,,,,,,,,,,,,,,
8590.487,9.155,88.7,88.7,90,90,,,,,,,,,,,,,,
8590.637,9.305,88.57,88.57,90,90,,,,,,,,,,,,,,
8590.637,9.305,88.57,88.57,90,90,,,,,,,,,,,,,,
8590.637,9.305,88.57,88.57,90,90,,,,,,,,,,,,,,
8590.637,9.305,88.57,88.57,90,90,,,,,,,,,,,,,,
8590.637,9.305,88.57,88.57,90,90,,,,,,,,,,,,,,
8590.787,9.455,88.44,88.44,90,90,,,,,34.09,60.4,,,,,,,,
8590.787,9.455,88.44,88.44,90,90,,,,,34.09,60.4,,,,,,,,
8590.787,9.455,88.44,88.44,90,90,,,,,34.09,60.4,,,,,,,,
8590.787,9.455,88.44,88.44,90,90,,,,,34.09,60.4,,,,,,,,
8590.787,9.455,88.44,88.44,90,90,,,,,34.09,60.4,,,,,,,,
8590.787,9.455,88.44,88.44,90,90,,,,,34.09,60.4,,,,,,,,
8590.787,9.455,88.44,88.44,90,90,,,,,34.09,60.4,,,,,,,,
8590.937,9.605,88.33,88.33,90,90,,,,,,,,,,,,,,
8590.937,9.605,88.33,88.33,90,90,,,,,,,,,,,,,,
8590.937,9.605,88.33,88.33,90,90,,,,,,,,,,,,,,
8590.937,9.605,88.33,88.33,90,90,,,,,,,,,,,,,,
8590.937,9.605,88.33,88.33,90,90,,,,,,,,,,,,,,
8591.087,9.755,88.2,88.2,90,90,,,,,,,,,,,,,,
8591.087,9.755,88.2,88.2,90,90,,,,,,,,,,,,,,
8591.087,9.755,88.2,88.2,90,90,,,,,,,,,,,,,,
8591.087,9.755,88.2,88.2,90,90,,,,,,,,,,,,,,
8591.087,9.755,88.2,88.2,90,90,,,,,,,,,,,,,,
8591.237,9.905,88.09,88.09,90,90,,,,,,,,,,,,,,
8591.237,9.905,88.09,88.09,90,90,,,,,,,,,,,,,,
