,timeSineBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
538,8002.043,52.12,51.39,90.0,59.91,38.19
539,8002.192,52.22,51.45,90.0,,38.17
540,8002.342,52.29,51.5,90.0,,38.15
541,8002.492,52.38,51.55,90.0,,38.13
542,8002.642,52.48,51.6,90.0,60.12,38.11
543,8002.793,52.56,51.66,90.0,,38.09
544,8002.942,52.64,51.71,90.0,,38.07
545,8003.092,52.75,51.76,90.0,,38.04
546,8003.243,52.82,51.82,90.0,60.3,38.03
547,8003.392,52.9,51.87,90.0,,38.01
548,8003.543,52.99,51.92,90.0,,37.99
549,8003.693,53.07,51.97,90.0,,37.97
550,8003.842,53.14,52.02,90.0,60.58,37.96
551,8003.993,53.23,52.08,90.0,,37.93
552,8004.142,53.3,52.13,90.0,,37.92
553,8004.292,53.38,52.18,90.0,,37.9
554,8259.546,,,,60.73,
555,8004.442,53.46,52.23,90.0,61.02,37.88
556,8004.593,53.53,52.29,90.0,,37.86
557,8004.742,53.62,52.34,90.0,,37.84
558,8004.893,53.72,52.4,90.0,,37.82
559,8005.042,53.79,52.45,90.0,,37.8
560,8005.192,53.85,52.51,90.0,,37.79
561,8005.343,53.95,52.56,90.0,,37.76
562,8005.493,54.02,52.62,90.0,,37.75
563,8005.642,54.08,52.67,90.0,61.13,37.74
564,8005.793,54.17,52.73,90.0,,37.73
565,8005.943,54.23,52.78,90.0,,37.71
566,8006.093,54.3,52.83,90.0,,37.69
567,8006.243,54.38,52.89,90.0,61.36,37.67
568,8006.393,54.44,52.94,90.0,,37.65
569,8006.543,54.5,52.99,90.0,,37.63
570,8006.693,54.59,53.04,90.0,,37.61
571,8006.844,54.65,53.1,90.0,61.53,37.6
572,8006.994,54.71,53.15,90.0,,37.58
573,8270.927,,,,61.78,
574,8007.144,54.79,53.2,90.0,,37.56
575,8007.294,54.86,53.26,90.0,,37.55
576,8272.733,,,,61.96,
