timeSinceBootSeconds,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Controlled Ramp Target,dataQStg1Heatsink,dataQStg1PeltierTop,dataQStage1PeltierBottom,dataQStg1Liquid,dataQStg1Slug
668.151,60.34,60.34,60.0,60.0,,,,,,
668.301,60.19,60.19,60.0,60.0,,,,,,
668.451,60.07,60.07,60.0,60.0,,,,,,
668.601,59.96,59.96,60.0,60.0,,,,,,
668.751,59.82,59.82,60.0,60.0,,,,,,
668.901,59.71,59.71,60.0,60.0,,,,,,
669.051,59.62,59.62,60.0,60.0,,,,,,
669.201,59.54,59.54,60.0,60.0,,,,,,
669.351,59.43,59.43,60.0,60.0,,,,,,
669.502,59.37,59.37,60.0,60.0,,,,,,
669.651,59.32,59.32,60.0,60.0,,,,,,
669.801,59.27,59.27,60.0,60.0,,,,,,
669.951,59.22,59.22,60.0,60.0,,,,,,
670.101,59.21,59.21,60.0,60.0,,,,,,
670.251,59.2,59.2,60.0,60.0,,,,,,
670.401,59.18,59.18,60.0,60.0,,,,,,
670.551,59.18,59.18,60.0,60.0,,,,,,
670.702,59.19,59.19,60.0,60.0,,,,,,
670.852,59.19,59.19,60.0,60.0,,,,,,
671.001,59.22,59.22,60.0,60.0,,,,,,
671.151,59.24,59.24,60.0,60.0,,,,,,
671.301,59.25,59.25,60.0,60.0,,,,,,
671.451,59.29,59.29,60.0,60.0,,,,,,
671.601,59.34,59.34,60.0,60.0,,,,,,
671.752,59.38,59.38,60.0,60.0,,,,,,
671.901,59.43,59.43,60.0,60.0,,,,,,
672.051,59.49,59.49,60.0,60.0,,,,,,
672.201,59.54,59.54,60.0,60.0,,,,,,
672.351,59.6,59.6,60.0,60.0,,,,,,
672.501,59.67,59.67,60.0,60.0,,,,,,
672.651,59.73,59.73,60.0,60.0,,,,,,
672.801,59.78,59.78,60.0,60.0,,,,,,
672.951,59.85,59.85,60.0,60.0,,,,,,
673.102,59.89,59.89,60.0,60.0,,,,,,
673.251,59.95,59.95,60.0,60.0,,,,,,
673.401,60.0,60.0,60.0,60.0,,,,,,
673.551,60.06,60.06,60.0,60.0,,,,,,
673.701,60.09,60.09,60.0,60.0,,,,,,
673.851,60.13,60.13,60.0,60.0,,,,,,
674.002,60.16,60.16,60.0,60.0,,,,,,
674.151,60.2,60.2,60.0,60.0,,,,,,
674.301,60.22,60.22,60.0,60.0,,,,,,
674.451,60.25,60.25,60.0,60.0,,,,,,
674.601,60.26,60.26,60.0,60.0,,,,,,
674.751,60.27,60.27,60.0,60.0,,,,,,
674.901,60.27,60.27,60.0,60.0,,,,,,
675.052,60.29,60.29,60.0,60.0,,,,,,
675.201,60.28,60.28,60.0,60.0,,,,,,
675.351,60.28,60.28,60.0,60.0,,,,,,
675.501,60.27,60.27,60.0,60.0,,,,,,
675.651,60.25,60.25,60.0,60.0,,,,,,
675.801,60.24,60.24,60.0,60.0,,,,,,
675.951,60.23,60.23,60.0,60.0,,,,,,
676.102,60.2,60.2,60.0,60.0,,,,,,
676.252,60.19,60.19,60.0,60.0,,,,,,
676.401,60.17,60.17,60.0,60.0,,,,,,
676.551,60.14,60.14,60.0,60.0,,,,,,
676.701,60.12,60.12,60.0,60.0,,,,,,
676.851,60.12,60.12,60.0,60.0,,,,,,
677.001,60.11,60.11,60.0,60.0,,,,,,
677.151,60.09,60.09,60.0,60.0,,,,,,
677.301,60.08,60.08,60.0,60.0,,,,,,
677.451,60.06,60.06,60.0,60.0,,,,,,
677.601,60.05,60.05,60.0,60.0,,,,,,
677.751,60.04,60.04,60.0,60.0,,,,,,
677.901,60.02,60.02,60.0,60.0,,,,,,
678.051,60.01,60.01,60.0,60.0,,,,,,
678.201,59.99,59.99,60.0,60.0,,,,,,
678.352,60.0,60.0,60.0,60.0,,,,,,
678.501,59.99,59.99,60.0,60.0,,,,,,
678.651,59.98,59.98,60.0,60.0,,,,,,
678.801,59.98,59.98,60.0,60.0,,,,,,
678.951,59.97,59.97,60.0,60.0,,,,,,
679.102,59.96,59.96,60.0,60.0,,,,,,
679.251,59.95,59.95,60.0,60.0,,,,,,
679.401,59.95,59.95,60.0,60.0,,,,,,
679.551,59.95,59.95,60.0,60.0,,,,,,
679.701,59.93,59.93,60.0,60.0,,,,,,
679.851,59.93,59.93,60.0,60.0,,,,,,
680.001,59.94,59.94,60.0,60.0,,,,,,
680.151,59.93,59.93,60.0,60.0,,,,,,
680.301,59.93,59.93,60.0,60.0,,,,,,
680.451,59.93,59.93,60.0,60.0,,,,,,
680.601,59.93,59.93,60.0,60.0,,,,,,
680.751,59.93,59.93,60.0,60.0,,,,,,
680.901,59.93,59.93,60.0,60.0,,,,,,
681.051,59.94,59.94,60.0,60.0,,,,,,
681.201,59.93,59.93,60.0,60.0,,,,,,
681.351,59.92,59.92,60.0,60.0,,,,,,
681.501,59.93,59.93,60.0,60.0,,,,,,
681.651,59.94,59.94,60.0,60.0,,,,,,
681.802,59.95,59.95,60.0,60.0,,,,,,
681.951,59.94,59.94,60.0,60.0,,,,,,
682.102,59.96,59.96,60.0,60.0,,,,,,
682.251,59.95,59.95,60.0,60.0,,,,,,
682.401,59.96,59.96,60.0,60.0,,,,,,
682.551,59.97,59.97,60.0,60.0,,,,,,
682.701,59.98,59.98,60.0,60.0,,,,,,
682.854,59.98,59.98,60.0,60.0,,,,,,
683.001,59.99,59.99,60.0,60.0,,,,,,
683.151,59.99,59.99,60.0,60.0,,,,,,
683.301,60.0,60.0,60.0,60.0,,,,,,
683.451,59.99,59.99,60.0,60.0,,,,,,
683.601,59.99,59.99,60.0,60.0,,,,,,
683.751,59.98,59.98,60.0,60.0,,,,,,
683.901,59.99,59.99,60.0,60.0,,,,,,
684.052,60.0,60.0,60.0,60.0,,,,,,
684.201,60.01,60.01,60.0,60.0,,,,,,
684.351,60.01,60.01,60.0,60.0,,,,,,
684.501,60.01,60.01,60.0,60.0,,,,,,
684.651,60.03,60.03,60.0,60.0,,,,,,
684.801,60.05,60.05,60.0,60.0,,,,,,
684.951,60.03,60.03,60.0,60.0,,,,,,
685.102,60.04,60.04,60.0,60.0,,,,,,
685.251,60.05,60.05,60.0,60.0,,,,,,
