***PCR ON***
[41]PCR TEC set to 50°C
(96141) _setPcrTecTempC: TEC Set Temp 50.000000
(96142) _resetThermalControlState: RESET Peltier 1 control state
(96145) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(96152) _setThermalControlState: thermalControl-1: changing state 3->1
(96159) tecCurvePredictorSetHoldPower: holdPower is NaN
(96165) thermalControlSetEnable: Enabling Peltier 1
(117871) TC: TC-1 = 98.21, modeled = 87.91, target = 50.00, heatSink = -85.93, output = -100.0, timeout = 21600, exptTempC = 50.00, TecRate = 1.154
(118016) TC: TC-1 = 98.27, modeled = 88.08, target = 50.00, heatSink = -85.97, output = -100.0, timeout = 21750, exptTempC = 50.00, TecRate = 1.147
(118166) TC: TC-1 = 98.34, modeled = 88.25, target = 50.00, heatSink = -85.72, output = -100.0, timeout = 21900, exptTempC = 50.00, TecRate = 1.148
(118315) TC: TC-1 = 98.40, modeled = 88.42, target = 50.00, heatSink = -86.12, output = -100.0, timeout = 22050, exptTempC = 50.00, TecRate = 1.132
(118466) TC: TC-1 = 98.45, modeled = 88.59, target = 50.00, heatSink = -86.23, output = -100.0, timeout = 22200, exptTempC = 50.00, TecRate = 1.108
(118620) TC: TC-1 = 98.50, modeled = 88.75, target = 50.00, heatSink = -86.04, output = -100.0, timeout = 22350, exptTempC = 50.00, TecRate = 1.092
(118767) TC: TC-1 = 98.54, modeled = 88.92, target = 50.00, heatSink = -85.97, output = -100.0, timeout = 22500, exptTempC = 50.00, TecRate = 1.069
(118916) TC: TC-1 = 98.59, modeled = 89.07, target = 50.00, heatSink = -85.93, output = -100.0, timeout = 22650, exptTempC = 50.00, TecRate = 1.057
(119065) TC: TC-1 = 98.64, modeled = 89.23, target = 50.00, heatSink = -85.44, output = -100.0, timeout = 22800, exptTempC = 50.00, TecRate = 1.045
(119216) TC: TC-1 = 98.70, modeled = 89.39, target = 50.00, heatSink = -86.01, output = -100.0, timeout = 22950, exptTempC = 50.00, TecRate = 1.035
(119366) TC: TC-1 = 98.74, modeled = 89.54, target = 50.00, heatSink = -86.12, output = -100.0, timeout = 23100, exptTempC = 50.00, TecRate = 1.016
